"""Time (s)"",""Latitude (°)"",""Longitude (°)"",""Height (m)"",""Velocity (m/s)"",""Direction (°)"",""Horizontal Accuracy (m)"",""Vertical Accuracy (m)"""
2.653959582E0,6.507794020E1,2.542211678E1,1.559631434E1,4.099999964E-1,1.843999939E2,6.612324238E0,7.494314194E0
3.654096978E0,6.507803390E1,2.542212146E1,1.849758169E1,7.699999809E-1,3.366000061E2,4.582293987E0,4.938768864E0
4.026475363E0,6.507800915E1,2.542208323E1,1.503774840E1,1.129999995E0,2.531000061E2,3.893188477E0,4.497928619E0
5.026114790E0,6.507799165E1,2.542205352E1,1.658462700E1,1.250000000E0,2.525000000E2,3.790092468E0,3.793157101E0
6.025510310E0,6.507798517E1,2.542203144E1,1.616348435E1,1.299999952E0,2.443999939E2,3.790092468E0,2.822910786E0
7.025839581E0,6.507798816E1,2.542200402E1,1.630746156E1,1.610000014E0,2.366999969E2,3.790092468E0,2.500000000E0
8.026463278E0,6.507799428E1,2.542197846E1,1.591219208E1,1.350000024E0,2.401000061E2,3.790092468E0,2.500000000E0
9.032191663E0,6.507801926E1,2.542197623E1,1.534620229E1,1.500000000E0,2.415000000E2,3.790092468E0,2.500000000E0
1.002903130E1,6.507802126E1,2.542193206E1,1.568036335E1,1.850000024E0,2.682999878E2,3.790092468E0,2.500000000E0
1.104185760E1,6.507802197E1,2.542190241E1,1.567065471E1,1.269999981E0,2.683999939E2,3.790092468E0,2.500000000E0
1.203081515E1,6.507802957E1,2.542187011E1,1.473796920E1,1.350000024E0,2.730000000E2,3.790092468E0,2.500000000E0
1.302943114E1,6.507803348E1,2.542185111E1,1.471538215E1,1.139999986E0,2.652999878E2,3.790092468E0,2.500000000E0
1.402929630E1,6.507803214E1,2.542182295E1,1.480406323E1,1.269999981E0,2.703999939E2,3.790092468E0,2.500000000E0
1.503327520E1,6.507803444E1,2.542178484E1,1.512095198E1,1.730000019E0,2.765000000E2,3.790092468E0,2.500000000E0
1.603435369E1,6.507803542E1,2.542175186E1,1.429477552E1,1.470000029E0,2.718999939E2,3.790092468E0,2.500000000E0
1.702982260E1,6.507803578E1,2.542172190E1,1.437185898E1,1.330000043E0,2.720000000E2,3.790092468E0,2.500000000E0
1.802692348E1,6.507803485E1,2.542169111E1,1.444576905E1,1.370000005E0,2.661000061E2,3.790092468E0,2.500000000E0
1.902991624E1,6.507803299E1,2.542165520E1,1.480593375E1,1.750000000E0,2.651000061E2,3.790092468E0,2.500000000E0
2.003156312E1,6.507803128E1,2.542162024E1,1.486757555E1,1.370000005E0,2.661000061E2,3.790092468E0,2.500000000E0
2.102736551E1,6.507802991E1,2.542159191E1,1.476491141E1,1.179999948E0,2.700000000E2,3.790092468E0,2.500000000E0
2.202577614E1,6.507802961E1,2.542156156E1,1.504353319E1,1.480000019E0,2.711000061E2,3.790092468E0,2.500000000E0
2.302808046E1,6.507802971E1,2.542153065E1,1.488349506E1,1.470000029E0,2.726000061E2,3.790092468E0,2.500000000E0
2.403231437E1,6.507803001E1,2.542150132E1,1.487421388E1,1.350000024E0,2.718999939E2,3.790092468E0,2.500000000E0
2.502575400E1,6.507803076E1,2.542147258E1,1.527124362E1,1.350000024E0,2.722999878E2,3.790092468E0,2.500000000E0
2.602737817E1,6.507803136E1,2.542144457E1,1.528289754E1,1.370000005E0,2.743999939E2,3.790092468E0,2.500000000E0
2.703037150E1,6.507803132E1,2.542141487E1,1.558513989E1,1.460000038E0,2.702000122E2,3.790092468E0,2.500000000E0
2.802786832E1,6.507803147E1,2.542138503E1,1.559276545E1,1.350000024E0,2.705000000E2,3.790092468E0,2.500000000E0
2.904144572E1,6.507803039E1,2.542135140E1,1.579423870E1,1.759999990E0,2.657000122E2,3.790092468E0,2.500000000E0
3.003060890E1,6.507803005E1,2.542131834E1,1.579997197E1,1.320000052E0,2.708999939E2,3.790092468E0,2.500000000E0
3.103166494E1,6.507803119E1,2.542129002E1,1.583005824E1,1.309999943E0,2.700000000E2,3.790092468E0,2.500000000E0
3.203204634E1,6.507803183E1,2.542125985E1,1.584354292E1,1.500000000E0,2.663999939E2,3.790092468E0,2.500000000E0
3.303069681E1,6.507803281E1,2.542122942E1,1.585244979E1,1.360000014E0,2.672999878E2,3.790092468E0,2.500000000E0
3.402894848E1,6.507803277E1,2.542120030E1,1.569949202E1,1.429999948E0,2.655000000E2,3.790092468E0,2.500000000E0
3.503120837E1,6.507803260E1,2.542117001E1,1.578267918E1,1.379999995E0,2.682999878E2,3.790092468E0,2.500000000E0
3.603095905E1,6.507803104E1,2.542113954E1,1.604787374E1,1.440000057E0,2.625000000E2,3.790092468E0,2.500000000E0
3.703255608E1,6.507802983E1,2.542110954E1,1.573543149E1,1.399999976E0,2.650000000E2,3.790092468E0,2.500000000E0
3.802831712E1,6.507802965E1,2.542107825E1,1.563984655E1,1.529999971E0,2.638999939E2,3.790092468E0,2.500000000E0
3.903004452E1,6.507803016E1,2.542104962E1,1.535236713E1,1.259999990E0,2.651000061E2,3.790092468E0,2.500000000E0
4.003256212E1,6.507803159E1,2.542102122E1,1.540674526E1,1.450000048E0,2.651000061E2,3.790092468E0,2.500000000E0
4.102664551E1,6.507803150E1,2.542099008E1,1.550995181E1,1.450000048E0,2.647999878E2,3.790092468E0,2.500000000E0
4.202840498E1,6.507803039E1,2.542095806E1,1.575506541E1,1.500000000E0,2.613999939E2,3.790092468E0,2.500000000E0
4.302830425E1,6.507803065E1,2.542092336E1,1.575921131E1,1.600000024E0,2.702000122E2,3.790092468E0,2.500000000E0
4.403205233E1,6.507803177E1,2.542089201E1,1.594493685E1,1.340000033E0,2.806000061E2,3.790092468E0,2.500000000E0
4.503036826E1,6.507803805E1,2.542086409E1,1.574107325E1,1.679999948E0,2.807000122E2,3.790092468E0,2.500000000E0
4.603141811E1,6.507804209E1,2.542083032E1,1.594046913E1,1.820000052E0,2.617999878E2,3.790092468E0,2.500000000E0
4.703101686E1,6.507804172E1,2.542079909E1,1.559146631E1,1.309999943E0,2.727999878E2,3.790092468E0,2.500000000E0
4.803149232E1,6.507803717E1,2.542077063E1,1.477707254E1,1.649999976E0,2.490000000E2,3.790092468E0,2.500000000E0
4.903213988E1,6.507803165E1,2.542073966E1,1.443765445E1,1.509999990E0,2.536999969E2,3.790092468E0,2.500000000E0
5.003353144E1,6.507802872E1,2.542070815E1,1.421945101E1,1.629999995E0,2.593999939E2,3.790092468E0,2.500000000E0
5.103214634E1,6.507802669E1,2.542067562E1,1.381747022E1,1.509999990E0,2.610000000E2,3.790092468E0,2.500000000E0
5.203345701E1,6.507802545E1,2.542064321E1,1.350008383E1,1.490000010E0,2.647999878E2,3.790092468E0,2.500000000E0
5.303002201E1,6.507802423E1,2.542061141E1,1.302956030E1,1.620000005E0,2.637999878E2,3.790092468E0,2.500000000E0
5.403125967E1,6.507802386E1,2.542057804E1,1.268147274E1,1.590000033E0,2.677999878E2,3.790092468E0,2.500000000E0
5.502851097E1,6.507802299E1,2.542054456E1,1.250776282E1,1.570000052E0,2.677999878E2,3.790092468E0,2.500000000E0
5.602857175E1,6.507802304E1,2.542051256E1,1.226453365E1,1.419999957E0,2.725000000E2,3.790092468E0,2.500000000E0
5.703102336E1,6.507802406E1,2.542047857E1,1.184503429E1,1.700000048E0,2.742000122E2,3.790092468E0,2.500000000E0
5.802805550E1,6.507802701E1,2.542044433E1,1.167107852E1,1.529999971E0,2.826000061E2,3.790092468E0,2.500000000E0
5.903218201E1,6.507802964E1,2.542041498E1,1.182170847E1,1.399999976E0,2.801000061E2,3.790092468E0,2.500000000E0
6.003113852E1,6.507803062E1,2.542038679E1,1.193852578E1,1.389999986E0,2.738999939E2,3.790092468E0,2.500000000E0
6.103253727E1,6.507803004E1,2.542035917E1,1.192649860E1,1.370000005E0,2.640000000E2,3.790092468E0,2.500000000E0
6.202929492E1,6.507802925E1,2.542032982E1,1.187205186E1,1.480000019E0,2.655000000E2,3.790092468E0,2.500000000E0
6.302858690E1,6.507802846E1,2.542030155E1,1.192368436E1,1.200000048E0,2.663999939E2,3.790092468E0,2.500000000E0
6.403207190E1,6.507802721E1,2.542027370E1,1.200345432E1,1.330000043E0,2.578999939E2,3.790092468E0,2.500000000E0
6.503264472E1,6.507802536E1,2.542023287E1,1.206680443E1,2.309999943E0,2.578999939E2,3.790092468E0,2.500000000E0
6.603180102E1,6.507802396E1,2.542019936E1,1.252059717E1,1.000000000E0,2.643999939E2,3.790092468E0,2.500000000E0
6.703380237E1,6.507802370E1,2.542017346E1,1.224306714E1,1.350000024E0,2.702999878E2,3.790092468E0,2.500000000E0
6.803086586E1,6.507802388E1,2.542014440E1,1.235915226E1,1.250000000E0,2.730000000E2,3.790092468E0,2.500000000E0
6.903080753E1,6.507802319E1,2.542011433E1,1.239711262E1,1.480000019E0,2.705000000E2,3.790092468E0,2.500000000E0
7.003414784E1,6.507802164E1,2.542008353E1,1.235658203E1,1.360000014E0,2.718999939E2,3.790092468E0,2.500000000E0
7.103165028E1,6.507801846E1,2.542005210E1,1.218543682E1,1.500000000E0,2.642999878E2,3.790092468E0,2.500000000E0
7.203423409E1,6.507801569E1,2.542001882E1,1.230744306E1,1.610000014E0,2.663999939E2,3.790092468E0,2.500000000E0
7.302825638E1,6.507801407E1,2.541998559E1,1.206897518E1,1.450000048E0,2.705000000E2,3.790092468E0,2.500000000E0
7.403264763E1,6.507801273E1,2.541995354E1,1.215344435E1,1.500000000E0,2.653999939E2,3.790092468E0,2.500000000E0
7.503105190E1,6.507801117E1,2.541992278E1,1.256817501E1,1.370000005E0,2.663999939E2,3.790092468E0,2.500000000E0
7.603194320E1,6.507800896E1,2.541989118E1,1.255285212E1,1.480000019E0,2.641000061E2,3.790092468E0,2.500000000E0
7.703362008E1,6.507800697E1,2.541985908E1,1.275133523E1,1.460000038E0,2.672999878E2,3.790092468E0,2.500000000E0
7.803193554E1,6.507800487E1,2.541982553E1,1.300322396E1,1.559999943E0,2.675000000E2,3.790092468E0,2.500000000E0
7.903344398E1,6.507800327E1,2.541979331E1,1.320585728E1,1.360000014E0,2.697000122E2,3.790092468E0,2.500000000E0
8.003191586E1,6.507800245E1,2.541976167E1,1.302390783E1,1.500000000E0,2.682999878E2,3.790092468E0,2.500000000E0
8.102919825E1,6.507800236E1,2.541973059E1,1.284244642E1,1.470000029E0,2.681000061E2,3.790092468E0,2.500000000E0
8.203160153E1,6.507800070E1,2.541970010E1,1.319821719E1,1.409999967E0,2.612000122E2,3.790092468E0,2.500000000E0
8.302976466E1,6.507799895E1,2.541966643E1,1.313540849E1,1.629999995E0,2.637999878E2,3.790092468E0,2.500000000E0
8.403280325E1,6.507799806E1,2.541963370E1,1.319595160E1,1.389999986E0,2.665000000E2,3.790092468E0,2.500000000E0
8.503347262E1,6.507799696E1,2.541960142E1,1.317122875E1,1.529999971E0,2.663999939E2,3.790092468E0,2.500000000E0
8.603216325E1,6.507799524E1,2.541956922E1,1.322298322E1,1.399999976E0,2.612000122E2,3.790092468E0,2.500000000E0
8.703160215E1,6.507799351E1,2.541953797E1,1.256819484E1,1.539999962E0,2.612000122E2,3.790092468E0,2.500000000E0
8.803057408E1,6.507799195E1,2.541950437E1,1.246485873E1,1.580000043E0,2.638999939E2,3.790092468E0,2.500000000E0
8.903082372E1,6.507799038E1,2.541947467E1,1.254133269E1,1.169999957E0,2.618999939E2,3.790092468E0,2.500000000E0
9.002713278E1,6.507798829E1,2.541944587E1,1.192048032E1,1.549999952E0,2.555000000E2,3.790092468E0,2.500000000E0
9.103009773E1,6.507798476E1,2.541941430E1,1.215747733E1,1.519999981E0,2.518999939E2,3.790092468E0,2.500000000E0
9.204038559E1,6.507798234E1,2.541938275E1,1.235882935E1,1.460000038E0,2.602999878E2,3.790092468E0,2.500000000E0
9.302907142E1,6.507798314E1,2.541935121E1,1.183599787E1,1.450000048E0,2.698999939E2,3.790092468E0,2.500000000E0
9.402948637E1,6.507798441E1,2.541931798E1,1.240722116E1,1.529999971E0,2.717999878E2,3.790092468E0,2.500000000E0
9.503232934E1,6.507798506E1,2.541928527E1,1.235814449E1,1.429999948E0,2.692000122E2,3.790092468E0,2.500000000E0
9.603570220E1,6.507798441E1,2.541925439E1,1.222068968E1,1.350000024E0,2.642999878E2,3.790092468E0,2.500000000E0
9.702733694E1,6.507798269E1,2.541922680E1,1.249528409E1,1.230000019E0,2.620000000E2,3.790092468E0,2.500000000E0
9.802837856E1,6.507797935E1,2.541920196E1,1.256199379E1,1.169999957E0,2.571000061E2,3.790092468E0,2.500000000E0
9.902590496E1,6.507797462E1,2.541917889E1,1.253831123E1,1.210000038E0,2.508999939E2,3.790092468E0,2.500000000E0
1.000329205E2,6.507797003E1,2.541915552E1,1.268717496E1,1.179999948E0,2.481999969E2,3.790092468E0,2.500000000E0
1.010299174E2,6.507796561E1,2.541913159E1,1.292539402E1,1.269999981E0,2.541999969E2,3.790092468E0,2.500000000E0
1.020277427E2,6.507796417E1,2.541910196E1,1.256961696E1,1.480000019E0,2.548000031E2,3.790092468E0,2.500000000E0
1.030360596E2,6.507796174E1,2.541907046E1,1.273575170E1,1.460000038E0,2.543000031E2,3.790092468E0,2.500000000E0
1.040289196E2,6.507795838E1,2.541903857E1,1.285067829E1,1.529999971E0,2.541000061E2,3.790092468E0,2.500000000E0
1.050314276E2,6.507795574E1,2.541900553E1,1.235604632E1,1.519999981E0,2.675000000E2,3.790092468E0,2.500000000E0
1.060295510E2,6.507795494E1,2.541897335E1,1.250100109E1,1.389999986E0,2.658999939E2,3.790092468E0,2.500000000E0
1.070294746E2,6.507795562E1,2.541894374E1,1.242030858E1,1.220000029E0,2.702000122E2,3.790092468E0,2.500000000E0
1.080300621E2,6.507795668E1,2.541891693E1,1.247969195E1,1.179999948E0,2.680000000E2,3.790092468E0,2.500000000E0
1.090341541E2,6.507795727E1,2.541888797E1,1.253510796E1,1.429999948E0,2.691000061E2,3.790092468E0,2.500000000E0
1.100312842E2,6.507795873E1,2.541885718E1,1.282080902E1,1.360000014E0,2.726000061E2,3.790092468E0,2.500000000E0
1.110303538E2,6.507796064E1,2.541882830E1,1.297815319E1,1.210000038E0,2.726000061E2,3.790092468E0,2.500000000E0
1.120322315E2,6.507796202E1,2.541879972E1,1.318048054E1,1.320000052E0,2.718999939E2,3.790092468E0,2.500000000E0
1.130297459E2,6.507796322E1,2.541876989E1,1.316387469E1,1.320000052E0,2.683999939E2,3.790092468E0,2.500000000E0
1.140294444E2,6.507796444E1,2.541874157E1,1.298772314E1,1.220000029E0,2.703999939E2,3.790092468E0,2.500000000E0
1.150291561E2,6.507796507E1,2.541871137E1,1.335570001E1,1.490000010E0,2.700000000E2,3.790092468E0,2.500000000E0
1.160309753E2,6.507796591E1,2.541868158E1,1.314835946E1,1.309999943E0,2.725000000E2,3.790092468E0,2.500000000E0
1.170319403E2,6.507796606E1,2.541865250E1,1.334684205E1,1.409999967E0,2.680000000E2,3.790092468E0,2.500000000E0
1.180330783E2,6.507796634E1,2.541862184E1,1.328690153E1,1.399999976E0,2.731000061E2,3.790092468E0,2.500000000E0
1.190329137E2,6.507796702E1,2.541859186E1,1.364212206E1,1.389999986E0,2.698999939E2,3.790092468E0,2.500000000E0
1.200319770E2,6.507796763E1,2.541856382E1,1.344070224E1,1.210000038E0,2.741000061E2,3.790092468E0,2.500000000E0
1.210332653E2,6.507796808E1,2.541853937E1,1.351760326E1,1.120000005E0,2.702999878E2,3.790092468E0,2.500000000E0
1.220336805E2,6.507796723E1,2.541851345E1,1.390236597E1,1.330000043E0,2.668999939E2,3.790092468E0,2.500000000E0
1.230321882E2,6.507796578E1,2.541848189E1,1.399409843E1,1.600000024E0,2.637000122E2,3.790092468E0,2.500000000E0
1.240285600E2,6.507796381E1,2.541845155E1,1.407502805E1,1.289999962E0,2.573999939E2,3.790092468E0,2.500000000E0
1.250338438E2,6.507796188E1,2.541841330E1,1.373817100E1,2.240000010E0,2.573999939E2,3.790092468E0,2.500000000E0
1.260340441E2,6.507796087E1,2.541838040E1,1.392884110E1,1.009999990E0,2.692000122E2,3.790092468E0,2.500000000E0
1.270314293E2,6.507796010E1,2.541835504E1,1.372437044E1,1.529999971E0,2.652999878E2,3.790092468E0,2.500000000E0
1.280338269E2,6.507796017E1,2.541832722E1,1.358105635E1,1.289999962E0,2.672000122E2,3.790092468E0,2.500000000E0
1.290336250E2,6.507795828E1,2.541829979E1,1.367510886E1,1.559999943E0,2.546999969E2,3.790092468E0,2.500000000E0
1.300316999E2,6.507795607E1,2.541826861E1,1.347967128E1,1.620000005E0,2.562000122E2,3.790092468E0,2.500000000E0
1.310336204E2,6.507795494E1,2.541823868E1,1.320543702E1,1.419999957E0,2.582999878E2,3.790092468E0,2.500000000E0
1.320314647E2,6.507795501E1,2.541820881E1,1.290611681E1,1.490000010E0,2.670000000E2,3.790092468E0,2.500000000E0
1.330284332E2,6.507795659E1,2.541817825E1,1.278642234E1,1.529999971E0,2.690000000E2,3.790092468E0,2.500000000E0
1.340329476E2,6.507795713E1,2.541815085E1,1.266630145E1,1.299999952E0,2.621000061E2,3.790092468E0,2.500000000E0
1.350304316E2,6.507795728E1,2.541812367E1,1.270487217E1,1.409999967E0,2.593999939E2,3.790092468E0,2.500000000E0
1.360310546E2,6.507795610E1,2.541809311E1,1.279843571E1,1.639999986E0,2.572000122E2,3.790092468E0,2.500000000E0
1.370316654E2,6.507795471E1,2.541806168E1,1.263308808E1,1.500000000E0,2.620000000E2,3.790092468E0,2.500000000E0
1.380320109E2,6.507795353E1,2.541803081E1,1.276235714E1,1.480000019E0,2.615000000E2,3.790092468E0,2.500000000E0
1.390273810E2,6.507795335E1,2.541800040E1,1.300795884E1,1.409999967E0,2.716000061E2,3.790092468E0,2.500000000E0
1.400297828E2,6.507795403E1,2.541797353E1,1.315834578E1,1.220000029E0,2.712999878E2,3.790092468E0,2.500000000E0
1.410279735E2,6.507795487E1,2.541794427E1,1.317109807E1,1.559999943E0,2.738999939E2,3.790092468E0,2.500000000E0
1.420268795E2,6.507795520E1,2.541791453E1,1.315980267E1,1.240000010E0,2.695000000E2,3.790092468E0,2.500000000E0
1.430278672E2,6.507795528E1,2.541788768E1,1.325226750E1,1.330000043E0,2.717000122E2,3.790092468E0,2.500000000E0
1.440272906E2,6.507795564E1,2.541785936E1,1.298145078E1,1.399999976E0,2.712999878E2,3.790092468E0,2.500000000E0
1.450313304E2,6.507795528E1,2.541782961E1,1.283661075E1,1.360000014E0,2.667000122E2,3.790092468E0,2.500000000E0
1.460292136E2,6.507795462E1,2.541780038E1,1.290826261E1,1.350000024E0,2.667999878E2,3.790092468E0,2.500000000E0
1.470316784E2,6.507795414E1,2.541777068E1,1.259881081E1,1.460000038E0,2.660000000E2,3.790092468E0,2.500000000E0
1.480336647E2,6.507795415E1,2.541774275E1,1.188017935E1,1.240000010E0,2.667000122E2,3.790092468E0,2.500000000E0
1.490313598E2,6.507795276E1,2.541771532E1,1.201048653E1,1.490000010E0,2.551999969E2,3.790092468E0,2.500000000E0
1.500354744E2,6.507795257E1,2.541768425E1,1.164366139E1,1.470000029E0,2.692000122E2,3.790092468E0,2.500000000E0
1.510321158E2,6.507795372E1,2.541765415E1,1.174979724E1,1.350000024E0,2.771000061E2,3.790092468E0,2.500000000E0
1.520311925E2,6.507795586E1,2.541762533E1,1.180997335E1,1.399999976E0,2.795000000E2,3.790092468E0,2.500000000E0
1.530419646E2,6.507795894E1,2.541759152E1,1.185641552E1,1.850000024E0,2.780000000E2,3.790092468E0,2.500000000E0
1.540294106E2,6.507796166E1,2.541755331E1,1.182729577E1,1.820000052E0,2.742000122E2,3.790092468E0,2.500000000E0
1.550294213E2,6.507796337E1,2.541751920E1,1.151222726E1,1.419999957E0,2.725000000E2,3.790092468E0,2.500000000E0
1.560322902E2,6.507796278E1,2.541749238E1,1.158766357E1,1.129999995E0,2.627999878E2,3.790092468E0,2.500000000E0
1.570337647E2,6.507796009E1,2.541746828E1,1.156513969E1,1.149999976E0,2.570000000E2,3.790092468E0,2.500000000E0
1.580321538E2,6.507795616E1,2.541744296E1,1.164448386E1,1.279999971E0,2.503000031E2,3.790092468E0,2.500000000E0
